TrackName                                                     AlbumName                                                     MediaType                    Genre             
Minha Historia                                                Minha Historia                                                MPEG audio file              Latin             

Com Açúcar E Com Afeto                                        Minha Historia                                                MPEG audio file              Latin             

Brejo Da Cruz                                                 Minha Historia                                                MPEG audio file              Latin             

Meu Caro Amigo                                                Minha Historia                                                MPEG audio file              Latin             

Geni E O Zepelim                                              Minha Historia                                                MPEG audio file              Latin             

Trocando Em Miúdos                                            Minha Historia                                                MPEG audio file              Latin             

Vai Trabalhar Vagabundo                                       Minha Historia                                                MPEG audio file              Latin             

Gota D'água                                                   Minha Historia                                                MPEG audio file              Latin             

Construção / Deus Lhe Pague                                   Minha Historia                                                MPEG audio file              Latin             

Mateus Enter                                                  Afrociberdelia                                                MPEG audio file              Latin             

O Cidadão Do Mundo                                            Afrociberdelia                                                MPEG audio file              Latin             

Etnia                                                         Afrociberdelia                                                MPEG audio file              Latin             

Quilombo Groove [Instrumental]                                Afrociberdelia                                                MPEG audio file              Latin             

Macô                                                          Afrociberdelia                                                MPEG audio file              Latin             

Um Passeio No Mundo Livre                                     Afrociberdelia                                                MPEG audio file              Latin             

Samba Do Lado                                                 Afrociberdelia                                                MPEG audio file              Latin             

Maracatu Atômico                                              Afrociberdelia                                                MPEG audio file              Latin             

O Encontro De Isaac Asimov Com Santos Dumont No Céu           Afrociberdelia                                                MPEG audio file              Latin             

Corpo De Lama                                                 Afrociberdelia                                                MPEG audio file              Latin             

Sobremesa                                                     Afrociberdelia                                                MPEG audio file              Latin             

Manguetown                                                    Afrociberdelia                                                MPEG audio file              Latin             

Um Satélite Na Cabeça                                         Afrociberdelia                                                MPEG audio file              Latin             
